icao,name,city,state,country,lat,lon
KOSC,Oscoda Wurtsmith Airport,Oscoda,Michigan,US,44.45159912,-83.39409637
KOSH,Wittman Regional Airport,Oshkosh,Wisconsin,US,43.9844017029,-88.5569992065
KOSU,Ohio State University Airport,Columbus,Ohio,US,40.0797996521,-83.0729980469
KOSX,Kosciusko Attala County Airport,Kosciusko,Mississippi,US,33.0903015137,-89.5419998169
KOTG,Worthington Municipal Airport,Worthington,Minnesota,US,43.6551017761,-95.5792007446
KOTH,Southwest Oregon Regional Airport,North Bend,Oregon,US,43.417098999,-124.2460021973
KOTM,Ottumwa Regional Airport,Ottumwa,Iowa,US,41.10660172,-92.44789886
KOUN,University of Oklahoma Westheimer Airport,Norman,Oklahoma,US,35.2456016541,-97.4720993042
KOVE,Oroville Municipal Airport,Oroville,California,US,39.4878005981,-121.6220016479
KOVL,Olivia Regional Airport,Olivia,Minnesota,US,44.7785987854,-95.0327987671
KOVO,North Vernon Airport,North Vernon,Indiana,US,39.04560089,-85.6053009
KOVS,Boscobel Airport,Boscobel,Wisconsin,US,43.16019821,-90.67549896
KOWA,Owatonna Degner Regional Airport,Owatonna,Minnesota,US,44.12340164,-93.26059723
KOWB,Owensboro Daviess County Airport,Owensboro,Kentucky,US,37.74010086,-87.16680145
KOWD,Norwood Memorial Airport,Norwood,Massachusetts,US,42.1904983521,-71.1728973389
KOWI,Ottawa Municipal Airport,Ottawa,Kansas,US,38.5387001038,-95.2529983521
KOWK,Central Maine Arpt of Norridgewock Airport,Norridgewock,Maine,US,44.71549988,-69.86650085
KOWP,William R. Pogue Municipal Airport,Sand Springs,Oklahoma,US,36.1753006,-96.15180206
KOWX,Putnam County Airport,Ottawa,Ohio,US,41.03559875,-83.98200226
KOXB,Ocean City Municipal Airport,Ocean City,Maryland,US,38.3103981018,-75.1240005493
KOXC,Waterbury Oxford Airport,Oxford,Connecticut,US,41.4785995483,-73.1352005005
KOXD,Miami University Airport,Oxford,Ohio,US,39.50230026,-84.78440094
KOXI,Starke County Airport,Knox,Indiana,US,41.3302002,-86.66470337
KOXR,Oxnard Airport,Oxnard,California,US,34.2008018494,-119.2070007324
KOXV,Knoxville Municipal Airport,Knoxville,Iowa,US,41.2989006042,-93.1138000488
KOYM,St Marys Municipal Airport,St Marys,Pennsylvania,US,41.4124984741,-78.5026016235
KOZA,Ozona Municipal Airport,Ozona,Texas,US,30.7353000641,-101.2030029297
KOZR,Cairns AAF (Fort Rucker) Air Field,Fort Rucker/Ozark,Alabama,US,31.27569962,-85.71340179
KOZS,Camdenton Memorial Airport,Camdenton,Missouri,US,37.9739990234,-92.6912002563
KOZW,Livingston County Spencer J. Hardy Airport,Howell,Michigan,US,42.62919998,-83.98210144
KP01,Eric Marcus Municipal Airport,Ajo,Arizona,US,32.4500999451,-112.8669967651
KP03,Cochise College Airport,Douglas,Arizona,US,31.371099472,-109.6900024414
KP04,Bisbee Municipal Airport,Bisbee,Arizona,US,31.3640003204,-109.883003235
